FoodCategory,FoodItem,per100grams,Cals_per100grams,KJ_per100grams,Image
CannedFruit,Applesauce,100g,62 cal,260 kJ,https://images.albertsons-media.com/is/image/ABS/122100010
CannedFruit,Canned Apricots,100g,48 cal,202 kJ,https://images.albertsons-media.com/is/image/ABS/122550010
CannedFruit,Canned Blackberries,100g,92 cal,386 kJ,https://images.albertsons-media.com/is/image/ABS/960277135
CannedFruit,Canned Blueberries,100g,88 cal,370 kJ,https://images.albertsons-media.com/is/image/ABS/960569301
CannedFruit,Canned Cherries,100g,54 cal,227 kJ,https://images.albertsons-media.com/is/image/ABS/960178007
CannedFruit,Canned Cranberries,100g,178 cal,748 kJ,https://images.albertsons-media.com/is/image/ABS/122500039
CannedFruit,Canned Crushed Pineapple,100g,53 cal,223 kJ,https://images.albertsons-media.com/is/image/ABS/122400008
CannedFruit,Canned Figs,100g,107 cal,449 kJ,https://images.albertsons-media.com/is/image/ABS/960519039
CannedFruit,Canned Fruit Cocktail,100g,81 cal,340 kJ,https://images.albertsons-media.com/is/image/ABS/122250016
CannedFruit,Canned Fruit Salad,100g,50 cal,210 kJ,https://images.albertsons-media.com/is/image/ABS/122250016
CannedFruit,Canned Gooseberries,100g,73 cal,307 kJ,
CannedFruit,Canned Grapefruit,100g,37 cal,155 kJ,https://images.albertsons-media.com/is/image/ABS/960312480
CannedFruit,Canned Grapes,100g,76 cal,319 kJ,https://images.albertsons-media.com/is/image/ABS/122250024
CannedFruit,Canned Mandarin Oranges,100g,71 cal,298 kJ,https://images.albertsons-media.com/is/image/ABS/122550001
CannedFruit,Canned Mango,100g,65 cal,273 kJ,https://images.albertsons-media.com/is/image/ABS/960450550
CannedFruit,Canned Mangosteen,100g,73 cal,307 kJ,https://images.albertsons-media.com/is/image/ABS/960053048
CannedFruit,Canned Mixed Fruit,100g,71 cal,298 kJ,https://images.albertsons-media.com/is/image/ABS/122300016
CannedFruit,Canned Morello Cherries,100g,81 cal,340 kJ,https://images.albertsons-media.com/is/image/ABS/970002886
CannedFruit,Canned Oranges,100g,62 cal,260 kJ,https://images.albertsons-media.com/is/image/ABS/122550001
CannedFruit,Canned Peaches,100g,54 cal,227 kJ,https://images.albertsons-media.com/is/image/ABS/122150051
CannedFruit,Canned Pears,100g,35 cal,147 kJ,https://images.albertsons-media.com/is/image/ABS/122200026
